,time,inidate,number,hDate,experiment,t2m,days,day_month,base_date,forecast_date,bias,adjusted_t2m
32981,13 days,2021-06-24,10,2002,1,23.24245193525354,13,06-24,2002-06-24,2002-07-07,-1.4458919071683844,24.688343842421926
32982,13 days,2021-06-24,10,2003,1,22.60270621276196,13,06-24,2003-06-24,2003-07-07,-1.4458919071683844,24.048598119930343
32983,13 days,2021-06-24,10,2004,1,17.10203389237131,13,06-24,2004-06-24,2004-07-07,-1.4458919071683844,18.547925799539694
32984,13 days,2021-06-24,10,2005,1,24.39591190701325,13,06-24,2005-06-24,2005-07-07,-1.4458919071683844,25.841803814181635
32985,13 days,2021-06-24,10,2006,1,28.09743729386358,13,06-24,2006-06-24,2006-07-07,-1.4458919071683844,29.543329201031966
32986,13 days,2021-06-24,10,2007,1,29.566037629330932,13,06-24,2007-06-24,2007-07-07,-1.4458919071683844,31.011929536499316
32987,13 days,2021-06-24,10,2008,1,26.948577504701397,13,06-24,2008-06-24,2008-07-07,-1.4458919071683844,28.394469411869782
32988,13 days,2021-06-24,10,2009,1,23.448294188906072,13,06-24,2009-06-24,2009-07-07,-1.4458919071683844,24.894186096074456
32989,13 days,2021-06-24,10,2010,1,14.399372894468101,13,06-24,2010-06-24,2010-07-07,-1.4458919071683844,15.845264801636485
32990,13 days,2021-06-24,10,2011,1,26.43558949533296,13,06-24,2011-06-24,2011-07-07,-1.4458919071683844,27.881481402501343
32991,13 days,2021-06-24,10,2012,1,20.296492612158673,13,06-24,2012-06-24,2012-07-07,-1.4458919071683844,21.742384519327057
32992,13 days,2021-06-24,10,2013,1,22.128676497190927,13,06-24,2013-06-24,2013-07-07,-1.4458919071683844,23.57456840435931
32993,13 days,2021-06-24,10,2014,1,21.082725896664872,13,06-24,2014-06-24,2014-07-07,-1.4458919071683844,22.528617803833257
32994,13 days,2021-06-24,10,2015,1,33.7640604055807,13,06-24,2015-06-24,2015-07-07,-1.4458919071683844,35.20995231274908
32995,13 days,2021-06-24,10,2016,1,28.31800729474228,13,06-24,2016-06-24,2016-07-07,-1.4458919071683844,29.763899201910665
32996,13 days,2021-06-24,10,2017,1,22.715315180880335,13,06-24,2017-06-24,2017-07-07,-1.4458919071683844,24.16120708804872
32997,13 days,2021-06-24,10,2018,1,27.04988299646313,13,06-24,2018-06-24,2018-07-07,-1.4458919071683844,28.495774903631514
32998,13 days,2021-06-24,10,2019,1,20.707928407169312,13,06-24,2019-06-24,2019-07-07,-1.4458919071683844,22.153820314337697
32999,13 days,2021-06-24,10,2020,1,19.018746132633137,13,06-24,2020-06-24,2020-07-07,-1.4458919071683844,20.46463803980152
33000,13 days,2021-06-28,0,2001,1,25.78242709252074,13,06-28,2001-06-28,2001-07-11,-1.3206785945291983,27.10310568704994
33001,13 days,2021-06-28,0,2002,1,30.293393311764326,13,06-28,2002-06-28,2002-07-11,-1.3206785945291983,31.614071906293525
33002,13 days,2021-06-28,0,2003,1,24.616883365735553,13,06-28,2003-06-28,2003-07-11,-1.3206785945291983,25.937561960264752
33003,13 days,2021-06-28,0,2004,1,19.507091204560638,13,06-28,2004-06-28,2004-07-11,-1.3206785945291983,20.827769799089836
33004,13 days,2021-06-28,0,2005,1,18.495003791177957,13,06-28,2005-06-28,2005-07-11,-1.3206785945291983,19.815682385707156
33005,13 days,2021-06-28,0,2006,1,23.92654799508523,13,06-28,2006-06-28,2006-07-11,-1.3206785945291983,25.247226589614428
33006,13 days,2021-06-28,0,2007,1,30.067920315335044,13,06-28,2007-06-28,2007-07-11,-1.3206785945291983,31.388598909864243
33007,13 days,2021-06-28,0,2008,1,26.812157548471607,13,06-28,2008-06-28,2008-07-11,-1.3206785945291983,28.132836143000805
33008,13 days,2021-06-28,0,2009,1,20.14997024299718,13,06-28,2009-06-28,2009-07-11,-1.3206785945291983,21.47064883752638
33009,13 days,2021-06-28,0,2010,1,22.27531910645476,13,06-28,2010-06-28,2010-07-11,-1.3206785945291983,23.595997700983958
33010,13 days,2021-06-28,0,2011,1,24.799237202207518,13,06-28,2011-06-28,2011-07-11,-1.3206785945291983,26.119915796736716
33011,13 days,2021-06-28,0,2012,1,30.29378941714845,13,06-28,2012-06-28,2012-07-11,-1.3206785945291983,31.614468011677648
33012,13 days,2021-06-28,0,2013,1,16.832494984085773,13,06-28,2013-06-28,2013-07-11,-1.3206785945291983,18.15317357861497
33013,13 days,2021-06-28,0,2014,1,19.20457752791602,13,06-28,2014-06-28,2014-07-11,-1.3206785945291983,20.525256122445217
33014,13 days,2021-06-28,0,2015,1,33.421859073552156,13,06-28,2015-06-28,2015-07-11,-1.3206785945291983,34.742537668081354
33015,13 days,2021-06-28,0,2016,1,26.72429665007979,13,06-28,2016-06-28,2016-07-11,-1.3206785945291983,28.044975244608988
33016,13 days,2021-06-28,0,2017,1,27.85531743054207,13,06-28,2017-06-28,2017-07-11,-1.3206785945291983,29.175996025071267
33017,13 days,2021-06-28,0,2018,1,23.959789958399842,13,06-28,2018-06-28,2018-07-11,-1.3206785945291983,25.28046855292904
33018,13 days,2021-06-28,0,2019,1,26.275994388110696,13,06-28,2019-06-28,2019-07-11,-1.3206785945291983,27.596672982639895
33019,13 days,2021-06-28,0,2020,1,24.420723984728777,13,06-28,2020-06-28,2020-07-11,-1.3206785945291983,25.741402579257976
33020,13 days,2021-06-28,1,2001,1,24.704982368591494,13,06-28,2001-06-28,2001-07-11,-1.3206785945291983,26.025660963120693
33021,13 days,2021-06-28,1,2002,1,20.351876045411814,13,06-28,2002-06-28,2002-07-11,-1.3206785945291983,21.672554639941012
33022,13 days,2021-06-28,1,2003,1,22.45578928989728,13,06-28,2003-06-28,2003-07-11,-1.3206785945291983,23.776467884426477
33023,13 days,2021-06-28,1,2004,1,28.63808358482997,13,06-28,2004-06-28,2004-07-11,-1.3206785945291983,29.95876217935917
33024,13 days,2021-06-28,1,2005,1,15.883487188048765,13,06-28,2005-06-28,2005-07-11,-1.3206785945291983,17.204165782577963
33025,13 days,2021-06-28,1,2006,1,27.905063741038077,13,06-28,2006-06-28,2006-07-11,-1.3206785945291983,29.225742335567276
33026,13 days,2021-06-28,1,2007,1,19.079076427506465,13,06-28,2007-06-28,2007-07-11,-1.3206785945291983,20.399755022035663
33027,13 days,2021-06-28,1,2008,1,27.38555079947908,13,06-28,2008-06-28,2008-07-11,-1.3206785945291983,28.70622939400828
33028,13 days,2021-06-28,1,2009,1,16.415435577491415,13,06-28,2009-06-28,2009-07-11,-1.3206785945291983,17.736114172020613
33029,13 days,2021-06-28,1,2010,1,20.70528266908772,13,06-28,2010-06-28,2010-07-11,-1.3206785945291983,22.025961263616917
